,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
6,Mataura,75,NZ,1604282378,61,-46.19,168.86,57.0,11.01
9,Vaini,75,TO,1604282382,83,-21.2,-175.2,78.8,10.29
13,Saldanha,0,ZA,1604282387,63,-33.01,17.94,64.4,3.36
20,Punta Arenas,0,CL,1604282237,76,-53.15,-70.92,51.8,3.36
21,Castro,24,BR,1604281861,97,-24.79,-50.01,48.94,7.38
28,Puerto Ayora,100,EC,1604282409,90,-0.74,-90.35,69.01,5.01
30,Bredasdorp,100,ZA,1604282412,82,-34.53,20.04,64.4,10.29
31,Port-Gentil,100,GA,1604282413,87,-0.72,8.78,78.17,10.36
32,Bluff,53,NZ,1604282414,61,-46.6,168.33,57.0,10.0
33,Port Alfred,33,ZA,1604282416,81,-33.59,26.89,64.69,17.38
34,Huarmey,63,PE,1604282346,85,-10.07,-78.15,61.48,7.05
40,Ushuaia,75,AR,1604282425,54,-54.8,-68.3,57.2,3.36
41,Soyo,100,AO,1604282116,88,-6.13,12.37,77.49,5.06
43,Faanui,0,PF,1604281857,79,-16.48,-151.75,80.42,18.92
47,Kavieng,10,PG,1604282434,63,-2.57,150.8,86.5,2.3
48,Airai,98,TL,1604282435,39,-8.93,125.41,79.03,4.56
50,Camocim,55,BR,1604282438,85,-2.9,-40.84,78.01,9.42
51,Vredendal,0,ZA,1604282439,34,-31.67,18.5,66.97,4.65
52,Esperance,91,AU,1604282441,73,-33.87,121.9,75.2,12.75
55,Alenquer,20,BR,1604282445,88,-1.94,-54.74,77.0,1.12
58,Busselton,98,AU,1604282426,88,-33.65,115.33,60.01,5.08
60,Avarua,90,CK,1604282365,83,-21.21,-159.78,78.8,14.99
64,Carnarvon,40,AU,1604282456,56,-24.87,113.63,71.6,16.11
67,Rikitea,95,PF,1604282460,86,-23.12,-134.97,73.92,24.0
71,Saint-Philippe,90,RE,1604282466,56,-21.36,55.77,69.8,8.05
75,New Norfolk,100,AU,1604282471,29,-42.78,147.06,77.0,4.0
84,Tuatapere,25,NZ,1604282483,61,-46.13,167.68,57.0,10.0
91,Hithadhoo,98,MV,1604282491,73,-0.6,73.08,83.16,8.32
